dtime, time, flightTimeRemaining,acceleration, acceleration(2), acceleration(3),orientation(1), orientation(2), orientation(3),quad_pos(1), quad_pos(2), quad_pos(3),path_pos(1), path_pos(2), path_pos(3),path_psi,omega_psi,controls(1), controls(2), controls(3), controls(4),vbat,path_psi, error_psi
  0.00000000,   0.00000000,  40.00000000,  -0.01049805,   0.01464844,   1.06176758,   0.46086097,  -0.75528198,  -0.33565646,   2.34900000,   0.15645777,  -0.78228883,   2.34900000,   0.15645777,  -0.78228883,   0.00000000,   0.01464578, 47050.35971223,   0.00000000,   0.00000000,   0.83914116,   3.74780059,   0.00000000,   0.00585831
  0.14990973,   0.14990973,  39.85009027,  -0.00683594,   0.01098633,   1.06811523,   0.53628218,  -0.71749997,  -0.41200888,   2.35891898,   0.15711843,  -0.77914931,   2.34900000,   0.15645777,  -0.75230688,   0.00000000,   0.01797728, 49539.60237812,   0.10622471,  -1.43842472,   1.03002220,   3.74252200,   0.00000000,   0.00719091
  0.08295059,   0.23286033,  39.76713967,   0.00732422,   0.02587891,   1.14233398,   0.50288630,  -0.65743005,  -0.51519948,   2.36485663,   0.15751391,  -0.78049966,   2.34900000,   0.15645777,  -0.73571676,   0.00000000,   0.02247982, 50215.17215666,   0.12500931,  -1.65215400,   1.28799871,   3.45747805,   0.00000000,   0.00899193
  0.06596017,   0.29882050,  39.70117950,   0.01513672,   0.04931641,   1.28662109,  -0.92113411,   0.11101680,  -1.65476239,   2.35706274,   0.15699479,  -0.78352789,   2.34900000,   0.15645777,  -0.72252473,   0.00000000,   0.07220263, 50781.71451438,  -0.18693056,   1.95297012,   4.13690597,   3.45747805,   0.00000000,   0.02888105
  0.11093307,   0.40975356,  39.59024644,   0.04443359,   0.03051758,   1.27197266,  -1.28019214,   1.94786155,  -3.54512167,   2.32734853,   0.16113867,  -0.78105652,   2.34900000,   0.15645777,  -0.70033812,   0.00000000,   0.15468511, 50396.64612015,   0.45269134,   5.36544113,   8.86280417,   3.46803522,   0.00000000,   0.06187405
  0.06396151,   0.47371507,  39.52628493,   0.02905273,   0.06054688,   1.26904297,  -0.99006450,   0.69618505,  -4.72301912,   2.44708695,   0.17618680,  -0.67378606,   2.34900000,   0.15645777,  -0.68754581,   0.00000000,   0.20608059, 43400.29493439,  13.04737119, -47.15153015,  11.80754781,   3.47331381,   0.00000000,   0.08243223
  0.05696607,   0.53068113,  39.46931887,   0.03857422,   0.02905273,   1.25878906,  -0.99125582,  -1.06175733,  -5.90036774,   2.47479816,   0.18531650,  -0.63359198,   2.34900000,   0.15645777,  -0.67615260,   0.00000000,   0.25745211, 41877.06085862,   5.83801774, -13.57615651,  14.75091934,   3.46803522,   0.00000000,   0.10298084
  0.05596614,   0.58664727,  39.41335273,  -0.02075195,  -0.02905273,   1.08129883,  -0.17045945,  -1.01231658,  -7.03715706,   2.47767435,   0.19292337,  -0.58436767,   2.34900000,   0.15645777,  -0.66495937,   0.00000000,   0.30705390, 38204.75313667,   4.89343642,  -4.34551824,  17.59289265,   3.46803522,   0.00000000,   0.12282156
  0.05796576,   0.64461303,  39.35538697,   0.00463867,  -0.02148438,   1.02001953,   3.79633474,   6.96539593,  -8.29887867,   2.47642324,   0.20036332,  -0.53751999,   2.34900000,   0.15645777,  -0.65336622,   0.00000000,   0.36210689, 38554.29032004,   4.72475528,  -2.49029295,  20.74719667,   3.54721427,   0.00000000,   0.14484276
  0.05596614,   0.70057917,  39.29942083,   0.01025391,   0.06640625,   1.11230469,   5.02645302,  11.05405045,  -9.38397121,   2.47608010,   0.20778014,  -0.50978109,   2.34900000,   0.15645777,  -0.64217300,   0.00000000,   0.40945299, 42121.79055159,   4.72442687,  -2.53656012,  23.45992804,   3.54721427,   0.00000000,   0.16378119
  0.05496740,   0.75554657,  39.24445343,  -0.04931641,  -0.00122070,   0.86962891,   4.25107479,   7.20775938,  -9.43947220,   2.46914600,   0.20892751,  -0.46800701,   2.34900000,   0.15645777,  -0.63117951,   0.00000000,   0.41187467, 38399.24378242,   2.09849569,  -0.23695924,  23.59868050,   3.57888579,   0.00000000,   0.16474987
  0.05696559,   0.81251216,  39.18748784,   0.00659180,   0.01831055,   0.92480469,   4.91520023,   4.72963476,  -9.23666477,   2.46430635,   0.20884105,  -0.42279600,   2.34900000,   0.15645777,  -0.61978640,   0.00000000,   0.40302553, 37572.78627336,   1.77757036,  -1.26005328,  23.09166193,   3.57888579,   0.00000000,   0.16121021
  0.05696535,   0.86947751,  39.13052249,   0.01245117,  -0.02539063,   0.97802734,   4.17693186,   4.13572216,  -8.83954048,   2.44552066,   0.21298820,  -0.38666564,   2.34900000,   0.15645777,  -0.60839333,   0.00000000,   0.38569771, 39345.62872714,   2.60626467,   5.18181082,  22.09885120,   3.54193544,   0.00000000,   0.15427909
  0.06196356,   0.93144107,  39.06855893,   0.02856445,  -0.02124023,   0.85180664,   2.57239842,   3.32438707,  -8.15693665,   2.43699377,   0.21367670,  -0.36618289,   2.34900000,   0.15645777,  -0.59600061,   0.00000000,   0.35591350, 42696.53045147,   1.73932706,   0.61101306,  20.39234161,   3.58944297,   0.00000000,   0.14236540
  0.05696511,   0.98840618,  39.01159382,   0.02026367,   0.01367188,   0.91650391,   2.40944695,   1.57213938,  -7.15089893,   2.42225309,   0.21262471,  -0.33760299,   2.34900000,   0.15645777,  -0.58460759,   0.00000000,   0.31201683, 40459.97435773,   0.79925937,   3.59730992,  17.87724733,   3.58944297,   0.00000000,   0.12480673
