dtime, time, flightTimeRemaining,acceleration, acceleration(2), acceleration(3),orientation(1), orientation(2), orientation(3),quad_pos(1), quad_pos(2), quad_pos(3),path_pos(1), path_pos(2), path_pos(3),path_psi,omega_psi,controls(1), controls(2), controls(3), controls(4),vbat,path_psi, error_psi
  0.00000000,   0.00000000,  40.00000000,  -0.01000977,   0.01586914,   1.05249023,   0.69614434,  -0.67726165,  -0.22191542,   2.01100000,   0.06088404,  -0.77322737,   2.01100000,   0.06088404,  -0.77322737,   0.00000000,   0.00968289, 47050.35971223,   0.00000000,   0.00000000,   0.55478856,   3.53137827,   0.00000000,   0.00387315
  0.14991021,   0.14991021,  39.85008979,  -0.01171875,   0.02294922,   1.05493164,   0.67149013,  -0.71126789,  -0.13822950,   2.00919655,   0.05534483,  -0.77801855,   2.01100000,   0.06088404,  -0.74324533,   0.00000000,   0.00603140, 50260.03821721,  -0.79273391,   0.25599863,   0.34557376,   3.54193544,   0.00000000,   0.00241256
  0.07795382,   0.22786403,  39.77213597,  -0.01000977,   0.02172852,   1.04687500,   0.05367572,  -0.54041564,  -0.36690137,   2.00573338,   0.05473335,  -0.77719360,   2.01100000,   0.06088404,  -0.72765456,   0.00000000,   0.01600909, 49937.19269123,  -0.28520267,   0.92953550,   0.91725342,   3.54193544,   0.00000000,   0.00640364
  0.06296301,   0.29082704,  39.70917296,   0.06469727,   0.08789063,   1.38134766,  -2.16466618,   1.16228950,  -1.19345200,   2.00984920,   0.05477623,  -0.77405912,   2.01100000,   0.06088404,  -0.71506196,   0.00000000,   0.05207417, 49590.12157545,  -0.10072461,  -1.18715782,   2.98363000,   2.97184753,   0.00000000,   0.02082967
  0.11692810,   0.40775514,  39.59224486,   0.00878906,  -0.10351563,   1.20239258,  -3.51954532,   2.50673246,  -2.69475818,   2.08540174,   0.08463793,  -0.77970518,   2.01100000,   0.06088404,  -0.69167634,   0.00000000,   0.11758101, 52637.92046483,   5.66883682, -12.69096622,   6.73689544,   3.02991199,   0.00000000,   0.04703240
  0.06596041,   0.47371554,  39.52628446,  -0.01660156,  -0.08398438,   1.12231445,  -3.42200351,   2.04227805,  -3.43422961,   2.18272165,   0.10788758,  -0.68029632,   2.01100000,   0.06088404,  -0.67848426,   0.00000000,   0.14984654, 41848.07762513,  14.51564953, -40.11976244,   8.58557403,   3.04574776,   0.00000000,   0.05993861
  0.05896521,   0.53268075,  39.46731925,  -0.03588867,   0.01123047,   1.19482422,  -2.75814414,   4.04484749,  -4.21853399,   2.19814163,   0.12271540,  -0.62683879,   2.01100000,   0.06088404,  -0.66669122,   0.00000000,   0.18406827, 39249.37219440,   8.57520819, -10.88344841,  10.54633498,   3.02463341,   0.00000000,   0.07362731
  0.05496693,   0.58764768,  39.41235232,   0.08422852,   0.06274414,   1.29443359,  -1.34059918,   6.72453547,  -4.50904894,   2.20131571,   0.13103863,  -0.60047499,   2.01100000,   0.06088404,  -0.65569783,   0.00000000,   0.19674438, 43486.19607529,   5.44967248,  -5.66814763,  11.27262235,   3.02463341,   0.00000000,   0.07869775
  0.05696630,   0.64461398,  39.35538602,  -0.05615234,  -0.05834961,   0.91333008,   4.58323240,  15.73529720,  -5.42610121,   2.19034370,   0.14243080,  -0.55067383,   2.01100000,   0.06088404,  -0.64430457,   0.00000000,   0.23675833, 38169.39462160,   7.21253874,   0.03934421,  13.56525302,   3.26217031,   0.00000000,   0.09470333
  0.05396700,   0.69858098,  39.30141902,  -0.00854492,  -0.00561523,   0.98901367,   6.43100309,  15.84243298,  -5.87841749,   2.17168300,   0.15396614,  -0.50519947,   2.01100000,   0.06088404,  -0.63351117,   0.00000000,   0.25649435, 38254.22761965,   7.48481508,   4.28615603,  14.69604373,   3.26217031,   0.00000000,   0.10259774
  0.06396151,   0.76254249,  39.23745751,   0.01074219,   0.04907227,   1.01098633,   5.09822369,   8.83505726,  -5.35214949,   2.14160699,   0.16521823,  -0.46777394,   2.01100000,   0.06088404,  -0.62071887,   0.00000000,   0.23353158, 41186.76447023,   6.17266588,   7.34804723,  13.38037372,   3.30439901,   0.00000000,   0.09341263
  0.06096578,   0.82350826,  39.17649174,   0.03857422,   0.01708984,   0.96093750,   6.60697174,   2.98235559,  -4.50927687,   2.12118954,   0.17142632,  -0.44715949,   2.01100000,   0.06088404,  -0.60852572,   0.00000000,   0.19675432, 43733.41007435,   4.71139582,   4.26547862,  11.27319217,   3.30439901,   0.00000000,   0.07870173
  0.05396533,   0.87747359,  39.12252641,   0.06567383,  -0.01562500,   0.81933594,   6.61315346,   0.97252649,  -4.12737322,   2.08656986,   0.17497972,  -0.41752510,   2.01100000,   0.06088404,  -0.59773265,   0.00000000,   0.18009063, 41685.81612926,   3.84836089,  12.05407947,  10.31843305,   3.32023478,   0.00000000,   0.07203625
  0.05496740,   0.93244100,  39.06755900,   0.03466797,   0.02075195,   1.00512695,   5.97862530,  -2.56621838,  -3.43971372,   2.04894391,   0.17334698,  -0.39035344,   2.01100000,   0.06088404,  -0.58673917,   0.00000000,   0.15008582, 42319.01514667,   1.72023877,  13.54952168,   8.59928429,   3.19882679,   0.00000000,   0.06003433
  0.05396724,   0.98640823,  39.01359177,   0.04345703,   0.01245117,   1.01318359,   5.06926012,  -4.06278944,  -3.05087113,   2.02559143,   0.17165456,  -0.37663429,   2.01100000,   0.06088404,  -0.57594572,   0.00000000,   0.13311937, 44423.41146485,   1.92438188,   8.12075265,   7.62717783,   3.19882679,   0.00000000,   0.05324775
  0.05796576,   1.04437399,  38.95562601,   0.06103516,  -0.00561523,   0.95361328,   4.10863304,  -7.76026154,  -2.46887636,   1.99461592,   0.16442911,  -0.35949996,   2.01100000,   0.06088404,  -0.56435257,   0.00000000,   0.10772505, 44166.43651706,  -0.19333688,  10.93651686,   6.17219090,   3.24105597,   0.00000000,   0.04309002
  0.05996323,   1.10433722,  38.89566278,   0.08544922,   0.01806641,   0.93603516,   3.30805850,  -9.47009754,  -2.08740616,   1.96251989,   0.15605126,  -0.34648880,   2.01100000,   0.06088404,  -0.55235993,   0.00000000,   0.09108028, 45172.22770653,  -0.60794819,  11.45644468,   5.21851540,   3.24105597,   0.00000000,   0.03643211
  0.05696654,   1.16130376,  38.83869624,   0.03198242,   0.05712891,   1.10937500,   2.18719554,  -8.89446259,  -1.81976998,   1.94087468,   0.14403559,  -0.33211921,   2.01100000,   0.06088404,  -0.54096662,   0.00000000,   0.07940244, 44345.20727379,  -2.20915108,   8.89178712,   4.54942495,   3.18826962,   0.00000000,   0.03176098
  0.05496621,   1.21626997,  38.78373003,   0.02441406,   0.02392578,   1.13818359,   0.93437999, -10.07931614,  -1.40178001,   1.92842729,   0.13622658,  -0.32306328,   2.01100000,   0.06088404,  -0.52997338,   0.00000000,   0.06116419, 45074.74297714,  -0.75546529,   5.94877611,   3.50445002,   3.18826962,   0.00000000,   0.02446568
