dtime, time, flightTimeRemaining,acceleration, acceleration(2), acceleration(3),orientation(1), orientation(2), orientation(3),quad_pos(1), quad_pos(2), quad_pos(3),path_pos(1), path_pos(2), path_pos(3),path_psi,omega_psi,controls(1), controls(2), controls(3), controls(4),vbat,path_psi, error_psi
  0.00000000,   0.00000000,  40.00000000,  -0.01019458,   0.06743015,   1.04085004,   1.06762052,  -0.68660259,  -0.30816826,   1.89100000,   0.00000000,  -0.77288828,   1.89100000,   0.00000000,  -0.77288828,   0.00000000,   0.01344638, 47050.35971223,   0.00000000,   0.00000000,   0.77042066,   3.84281516,   0.00000000,   0.00537855
  0.19788027,   0.19788027,  39.80211973,  -0.01869150,   0.05798328,   0.98779768,   1.08063495,  -0.74015838,  -2.15744972,   1.88637913,   0.00000000,  -0.77099964,   1.89100000,   0.00000000,  -0.73331223,   0.00000000,   0.09413650, 49791.72046168,  -0.01990721,   0.52841445,   5.39362431,   3.80586505,   0.00000000,   0.03765460
  0.07695389,   0.27483416,  39.72516584,   0.00966021,   0.01770270,   0.93359768,   1.03361368,  -0.47745135,  -3.32202578,   1.88358791,  -0.00468240,  -0.76985882,   1.89100000,   0.00000000,  -0.71792145,   0.00000000,   0.14495072, 49929.29775190,  -1.26642823,   0.75862768,   8.30506444,   3.48914957,   0.00000000,   0.05798029
  0.06496119,   0.33979535,  39.66020465,   0.39240372,  -0.17367761,   1.63699698,   0.13514675,   0.94462258,  -4.05513668,   1.87991867,  -0.00552818,  -0.76835913,   1.89100000,   0.00000000,  -0.70492921,   0.00000000,   0.17693872, 49972.51541310,  -0.44795666,   1.25461727,  10.13784170,   3.48914957,   0.00000000,   0.07077549
  0.10593629,   0.44573164,  39.55426836,   0.01721572,  -0.00765476,   1.14139581,  -0.04416842,   3.83547258,  -5.01696157,   1.92408208,  -0.00581005,  -0.77123618,   1.89100000,   0.00000000,  -0.68374196,   0.00000000,   0.21890624, 51378.77646700,   0.54626241,  -8.14035156,  12.54240394,   3.52082109,   0.00000000,   0.08756250
  0.07495475,   0.52068639,  39.47931361,  -0.00686191,  -0.05338413,   1.36239040,   0.00503312,   2.38868880,  -5.06336927,   1.97742451,  -0.00106359,  -0.77581180,   1.89100000,   0.00000000,  -0.66875101,   0.00000000,   0.22093116, 53149.96691886,   2.37337292, -14.03899379,  12.65842319,   3.52082109,   0.00000000,   0.08837247
  0.05696583,   0.57765222,  39.42234778,   0.04390777,  -0.06583573,   1.29163110,  -0.69371450,   2.60777187,  -4.99807739,   2.03159847,   0.01412323,  -0.68910578,   1.89100000,   0.00000000,  -0.65735784,   0.00000000,   0.21808227, 36588.24057269,  10.88583563, -28.89134666,  12.49519348,   3.49970675,   0.00000000,   0.08723291
  0.05696607,   0.63461828,  39.36538172,  -0.00421412,  -0.06437587,   1.33456171,  -0.54498982,   7.38620663,  -4.80006027,   2.04349984,   0.02255391,  -0.64847308,   1.89100000,   0.00000000,  -0.64596463,   0.00000000,   0.20944214, 41549.33364418,   4.60044119,  -8.30223600,  12.00015068,   3.47331381,   0.00000000,   0.08377686
  0.05596542,   0.69058371,  39.30941629,   0.01052836,  -1.24790132,   1.52185988,   2.28144240,  14.32378674,  -4.26488018,   2.03409968,   0.02424743,  -0.60797674,   1.89100000,   0.00000000,  -0.63477154,   0.00000000,   0.18609050, 40523.97209634,   1.32128639,   0.01183523,  10.66220045,   3.47331381,   0.00000000,   0.07443620
  0.06096363,   0.75154734,  39.24845266,   0.00197865,  -0.10610984,   0.94355476,   5.73227787,  19.17632866,  -3.78949809,   2.01041292,   0.01954174,  -0.57317700,   1.89100000,   0.00000000,  -0.62257882,   0.00000000,   0.16534805, 42267.03789186,  -1.53183991,   5.15944781,   9.47374523,   3.73196483,   0.00000000,   0.06613922
